anchor_sec,duration_sec,end_sec,fallback,file,input_root,mad_env,median_env,num_regions,start_sec,status,threshold
5.590,41.600,9.590,,13.25 vlg4bp.wav,C:\Users\Dimitris\Desktop\Sorting out\Uni\MSc\Dissertation\Clap_tryout\data\Data 20 June 2025,0.002472,0.005876,15,1.590,cropped,0.008348
22.930,41.984,26.930,,13.29 wzz934.wav,C:\Users\Dimitris\Desktop\Sorting out\Uni\MSc\Dissertation\Clap_tryout\data\Data 20 June 2025,0.005083,0.010680,12,18.930,cropped,0.015763
25.870,44.224,29.870,,13.32 ezy79ek.wav,C:\Users\Dimitris\Desktop\Sorting out\Uni\MSc\Dissertation\Clap_tryout\data\Data 20 June 2025,0.008515,0.017377,21,21.870,cropped,0.025892
15.130,45.717,19.130,,13.40 tsc123.wav,C:\Users\Dimitris\Desktop\Sorting out\Uni\MSc\Dissertation\Clap_tryout\data\Data 20 June 2025,0.002715,0.011084,25,11.130,cropped,0.013799
31.300,52.971,35.300,,13.43 ubt70a.wav,C:\Users\Dimitris\Desktop\Sorting out\Uni\MSc\Dissertation\Clap_tryout\data\Data 20 June 2025,0.005321,0.009077,12,27.300,cropped,0.014398
31.410,43.499,35.410,,13.47 ezy37hr.wav,C:\Users\Dimitris\Desktop\Sorting out\Uni\MSc\Dissertation\Clap_tryout\data\Data 20 June 2025,0.004165,0.005401,19,27.410,cropped,0.009566
34.990,48.341,38.990,,13.48 ezy247g.wav,C:\Users\Dimitris\Desktop\Sorting out\Uni\MSc\Dissertation\Clap_tryout\data\Data 20 June 2025,0.007211,0.019609,21,30.990,cropped,0.026821
2.830,41.749,8.000,,13.51 baw2203.wav,C:\Users\Dimitris\Desktop\Sorting out\Uni\MSc\Dissertation\Clap_tryout\data\Data 20 June 2025,0.006408,0.011504,15,0.000,cropped,0.017912
31.650,49.664,35.650,,14.01 ezy174d.wav,C:\Users\Dimitris\Desktop\Sorting out\Uni\MSc\Dissertation\Clap_tryout\data\Data 20 June 2025,0.008269,0.016443,23,27.650,cropped,0.024712
32.580,46.912,36.580,used_short_region,14.07 dal63.wav,C:\Users\Dimitris\Desktop\Sorting out\Uni\MSc\Dissertation\Clap_tryout\data\Data 20 June 2025,0.005711,0.015225,25,28.580,cropped,0.020936
