iteration,a dog barking,a jet taking off,a train passing,a quiet forest,a car engine revving
0,-0.027729,0.114283,0.114441,-0.026542,0.223196
1,-0.058015,0.072991,0.043629,-0.07696,0.220101
2,-0.076611,0.077049,0.061195,-0.024226,0.242928
3,-0.061822,0.074114,0.057681,-0.039121,0.216968
4,-0.056237,0.078536,0.050732,-0.028616,0.273067
5,-0.013745,0.125929,0.100774,-0.038895,0.219046
6,-0.036508,0.106455,0.060807,-0.049885,0.243586
7,-0.045529,0.06018,0.028989,-0.062218,0.229497
8,-0.071438,0.084034,0.043289,-0.062775,0.255509
9,-0.064026,0.09191,0.041798,-0.059591,0.260318
10,-0.059512,0.096121,0.06805,-0.039488,0.22578
11,-0.050338,0.081313,0.068414,-0.062123,0.249333
12,-0.069406,0.071425,0.048113,-0.035579,0.229792
13,-0.054232,0.07782,0.04441,-0.027118,0.26783
14,-0.049823,0.091947,0.063465,-0.051606,0.253282
15,-0.03339,0.082502,0.058846,-0.038942,0.244844
16,-0.069098,0.083319,0.053626,-0.050164,0.23031
17,-0.056099,0.07805,0.057799,-0.036963,0.253312
18,-0.055439,0.081262,0.044145,-0.029757,0.283057
19,-0.039805,0.105539,0.085551,-0.055985,0.219782
20,-0.048099,0.103975,0.088607,-0.040999,0.246381
21,-0.064458,0.074178,0.031217,-0.04102,0.261555
22,-0.053298,0.083064,0.046984,-0.050265,0.264035
23,-0.052503,0.084054,0.063864,-0.054757,0.233775
24,-0.049639,0.094946,0.076912,-0.032178,0.257884
25,-0.050205,0.089878,0.08318,-0.019396,0.197307
26,-0.055353,0.082235,0.052463,-0.045264,0.253092
27,-0.052322,0.109044,0.088315,-0.045408,0.264977
28,-0.055334,0.080829,0.055964,-0.03335,0.26799
29,-0.034223,0.100071,0.092658,-0.027211,0.204041
30,-0.074112,0.063273,0.03791,-0.062493,0.238146
31,-0.047436,0.089225,0.076855,-0.05173,0.212857
32,-0.047688,0.081498,0.052199,-0.040175,0.254246
33,-0.049277,0.119275,0.086476,-0.04586,0.244385
34,-0.03995,0.079801,0.039942,-0.041044,0.271378
35,-0.07761,0.076458,0.042253,-0.043546,0.261758
36,-0.045464,0.091164,0.074818,-0.036424,0.238863
37,-0.06899,0.070794,0.050292,-0.053437,0.260586
38,-0.054229,0.081298,0.061385,-0.026175,0.244679
39,-0.049159,0.09649,0.069141,-0.062799,0.177313
40,-0.079579,0.061868,0.019619,-0.071466,0.240029
41,-0.029668,0.097461,0.11557,-0.018651,0.231229
42,-0.06363,0.083041,0.059161,-0.072069,0.218583
43,-0.04912,0.078102,0.048535,-0.046991,0.24046
44,-0.048266,0.078007,0.048037,-0.047224,0.244674
45,-0.041555,0.090317,0.07551,-0.038296,0.214079
46,-0.047535,0.071333,0.064513,-0.018483,0.214877
47,-0.043131,0.100631,0.092823,-0.032377,0.214345
48,-0.070624,0.100977,0.056181,-0.048831,0.25519
49,-0.035777,0.107515,0.082822,-0.017903,0.269011
50,-0.04366,0.079541,0.058098,-0.059283,0.23559
51,-0.068554,0.052041,0.015098,-0.067895,0.253715
52,-0.022993,0.123261,0.107458,-0.033178,0.233628
53,-0.042736,0.085453,0.07256,-0.021145,0.210891
54,-0.043168,0.088441,0.076484,-0.030882,0.248766
55,-0.030661,0.097559,0.064513,-0.012625,0.272179
56,-0.042096,0.078829,0.033625,-0.053583,0.228981
57,-0.061856,0.0735,0.031005,-0.079853,0.228939
58,-0.083751,0.088663,0.054929,-0.092087,0.209432
59,-0.059167,0.076502,0.068979,-0.04478,0.215721
60,-0.069257,0.055558,0.038481,-0.060568,0.243528
61,-0.077468,0.057169,0.003754,-0.068703,0.249655
