file,airplane,bells,birds,cats,chicken coop,cicadas and crickets,clacson,crows and seagulls,dogs,garbage,helicopter,lawn mower and bush cutter,music,sirens and alarms,thunder fireworks and gunshot,train,vacuum cleaner,fan and hairdryer,vehicle idling,vehicle pass-by,voices,workshop
13.25 vlg4bp.wav,-1.3620494541096724,-1.7449555243937545,-0.9293169957609062,-1.3586489260168821,-1.5813684465246187,-0.8870045958206262,-1.6215524936360686,-1.051137284616113,-1.5660423979160467,-2.2755055806847952,-1.5005257477027443,-1.4470033959636033,-1.8745786745589752,-1.7609388198956861,-1.0617300688910734,-1.481845748435337,-1.9456057703153213,-1.9272145258977764,-2.850955363851701,-1.8173604220585629,-1.648663172524218,-2.629361961346584
13.29 wzz934.wav,-1.3239726811914194,-1.668232167541388,-0.9384632664051846,-1.5545522998913555,-1.4645410603771085,-1.1062015917186918,-1.762037482034528,-1.3035418266004486,-1.7223674381085072,-2.057463733789359,-1.7352564493000366,-1.307755880113289,-1.9070103056435583,-2.10237869817871,-1.461756645655155,-1.4452120429202835,-2.0020249931711356,-2.253735486504452,-3.466526053372205,-1.6425617167371906,-1.752758429451895,-2.3402127495103806
13.32 ezy79ek.wav,-1.0647953306320341,-1.6829805863616745,-0.8520060476080452,-1.4471941800286123,-1.3036571716322911,-1.1208698540568576,-1.6667754718276182,-1.034443449855248,-1.490307085420736,-1.8598802400470411,-1.2752270249250697,-1.321279915803556,-1.9227214158236439,-1.4419455856671919,-1.2167462572163934,-1.0797285064303774,-1.8153709517435557,-1.6896926516351818,-2.0584976777471033,-1.7613150100396926,-1.7963539995256137,-2.2045502868862847
13.40 tsc123.wav,-0.9006432811235527,-1.7555483865916475,-0.9144446746954352,-1.3734113054974355,-1.4188453235175065,-0.9212072737694366,-1.6882933391169355,-1.1773384623003154,-1.6315057448300125,-2.059642779502235,-1.0777140478318772,-1.1404440853652416,-1.973339478939198,-1.5749039504247249,-1.3818044785947114,-1.161584811706467,-1.6530976180326276,-1.704039547417643,-2.309383080882593,-1.480891345740578,-1.655461015690522,-2.5763461611502847
13.43 ubt70a.wav,-1.1080885541812169,-1.8396551523994162,-0.9996179151292588,-1.5932966478508173,-1.5559095901971751,-0.9665398524194428,-1.7079057746638797,-1.3482060063225558,-1.7581142233360545,-2.3353742390669243,-1.274033372638794,-1.3083921305940667,-1.8444606947609383,-1.8690881881895656,-1.4665130960447554,-1.4406170882051061,-1.9203571353903885,-2.0294357347858423,-2.933704858753761,-1.698570698100729,-1.8696017709530997,-2.42432444194193
13.47 ezy37hr.wav,-1.180223048096952,-1.6776010291186494,-0.9506796185330025,-1.4946636921256304,-1.6622894403241233,-0.9025456367870068,-1.7050252700810855,-1.3421256882450392,-1.6652371862992914,-2.324396188381711,-1.465371338245877,-1.4925040279667217,-1.810117339393618,-1.999788622887607,-1.5040164320404428,-1.3330107346453302,-1.9402730345170889,-2.012860978083768,-3.3569999193289943,-1.7628635309723053,-1.9766901894387858,-2.3943369965480783
13.48 ezy247g.wav,-0.771683008870882,-1.7206143789350283,-0.9550267885217727,-1.4873172853934402,-1.5343002365071827,-0.972998219059613,-1.6677841192990261,-1.2097567008013415,-1.8125836901068622,-1.9778706990177368,-1.0862224198040176,-1.40052688423171,-1.7796347705519706,-1.6106512086671796,-1.1743886312435974,-1.0457929876001635,-1.6405026073567797,-1.626677497709895,-2.035168220495838,-1.2559356281312142,-1.6722769535820052,-2.5067286394156025
13.51 baw2203.wav,-1.0855312222808617,-1.7272267837956266,-0.9419296492050117,-1.3692762355874357,-1.5461924065470283,-0.9747404143527014,-1.6980986342083588,-1.2610389778175044,-1.5229094348981382,-2.241150153454877,-1.1878861125898743,-1.3483775211616522,-1.8754780363885657,-1.9329213566123795,-1.3132185367033298,-1.265599440290889,-1.8174053685251284,-1.8806776187550862,-2.397558301075706,-1.5467557885546213,-1.866934845224428,-2.2835410565544967
14.01 ezy174d.wav,-0.8197481077042857,-1.600564765958723,-0.8824737024481698,-1.728594353871307,-1.4438284403412327,-1.1043962355450085,-1.6000914039362655,-1.0794970896860587,-1.9654353886901335,-1.9411693849038278,-1.1752929726585053,-1.2122538522644126,-1.900558223457664,-1.514359200957654,-1.4748746513020294,-1.1621943463269746,-1.70485804668703,-1.779843559072593,-2.136983822825306,-1.2857621414561036,-1.7122205357754097,-2.5175907602471455
14.07 dal63.wav,-1.4825074165085885,-1.8286597880364395,-0.9368525227806817,-1.4217624626885879,-1.4743808626211627,-1.1228198985863522,-1.8743885668291684,-1.0480464749456995,-1.6205855894094485,-2.2608614178544926,-1.6028919736379104,-1.3559895865323435,-1.9208793806024034,-1.87898993573312,-1.339240636598095,-1.4675618289322256,-2.0610601004459657,-1.9444833958955903,-2.9740835271525636,-1.8958080050647135,-2.074275226100067,-2.570255510709295
